UNIPROT,has,description
up:Q5T653,hsa:51069,MRPL2; mitochondrial ribosomal protein L2
up:Q5T653,hsa:51069,MRPL2; mitochondrial ribosomal protein L2
up:Q5VZL5,hsa:9202,ZMYM4; zinc finger MYM-type containing 4
up:Q5W111,hsa:57213,SPRYD7; SPRY domain containing 7
up:Q69YG0,hsa:131616,TMEM42; transmembrane protein 42
up:Q69YG0,hsa:131616,TMEM42; transmembrane protein 42
up:Q6I9Y2,hsa:80145,THOC7; THO complex 7
up:Q6IAN0,hsa:25979,DHRS7B; dehydrogenase/reductase 7B
up:Q6IAN0,hsa:25979,DHRS7B; dehydrogenase/reductase 7B
up:Q6IAN0,hsa:25979,DHRS7B; dehydrogenase/reductase 7B
up:Q6IAN0,hsa:25979,DHRS7B; dehydrogenase/reductase 7B
up:Q6IAN0,hsa:25979,DHRS7B; dehydrogenase/reductase 7B
up:Q6IAN0,hsa:25979,DHRS7B; dehydrogenase/reductase 7B
up:Q6IAN0,hsa:25979,DHRS7B; dehydrogenase/reductase 7B
up:Q6IBS0,hsa:11344,TWF2; twinfilin actin binding protein 2
up:Q6NUP7,hsa:57718,PPP4R4; protein phosphatase 4 regulatory subunit 4
up:Q6NUP7,hsa:57718,PPP4R4; protein phosphatase 4 regulatory subunit 4
up:Q6NUP7,hsa:57718,PPP4R4; protein phosphatase 4 regulatory subunit 4
up:Q6NUP7,hsa:57718,PPP4R4; protein phosphatase 4 regulatory subunit 4
up:Q6NXT1,hsa:129138,ANKRD54; ankyrin repeat domain 54
up:Q6NXT1,hsa:129138,ANKRD54; ankyrin repeat domain 54
up:Q6PI78,hsa:157378,TMEM65; transmembrane protein 65
up:Q7Z4S6,hsa:55605,KIF21A; kinesin family member 21A
up:Q7Z4S6,hsa:55605,KIF21A; kinesin family member 21A
up:Q7Z695,hsa:90956,ADCK2; aarF domain containing kinase 2
up:Q7Z6M1,hsa:10244,RABEPK; Rab9 effector protein with kelch motifs
up:Q7Z6M1,hsa:10244,RABEPK; Rab9 effector protein with kelch motifs
up:Q7Z6M1,hsa:10244,RABEPK; Rab9 effector protein with kelch motifs
up:Q86VD9,hsa:80235,PIGZ; phosphatidylinositol glycan anchor biosynthesis class Z
up:Q86W56,hsa:8505,PARG; poly(ADP-ribose) glycohydrolase
up:Q86W56,hsa:8505,PARG; poly(ADP-ribose) glycohydrolase
up:Q86W56,hsa:8505,PARG; poly(ADP-ribose) glycohydrolase
up:Q86WA6,hsa:670,BPHL; biphenyl hydrolase like
up:Q86Y13,hsa:9666,DZIP3; DAZ interacting zinc finger protein 3
up:Q8IV38,hsa:57037,ANKMY2; ankyrin repeat and MYND domain containing 2
up:Q8N1G4,hsa:57470,LRRC47; leucine rich repeat containing 47
up:Q8N475,hsa:56884,FSTL5; follistatin like 5
up:Q8N766,hsa:23065,EMC1; ER membrane protein complex subunit 1
up:Q8NC67,hsa:81831,NETO2; neuropilin and tolloid like 2
up:Q8NC67,hsa:81831,NETO2; neuropilin and tolloid like 2
up:Q8NDI1,hsa:23301,EHBP1; EH domain binding protein 1
up:Q8NDI1,hsa:23301,EHBP1; EH domain binding protein 1
up:Q8WU76,hsa:152579,SCFD2; sec1 family domain containing 2
up:Q8WU76,hsa:152579,SCFD2; sec1 family domain containing 2
up:Q8WVY7,hsa:134510,UBLCP1; ubiquitin like domain containing CTD phosphatase 1
up:Q92562,hsa:9896,FIG4; FIG4 phosphoinositide 5-phosphatase
up:Q92562,hsa:9896,FIG4; FIG4 phosphoinositide 5-phosphatase
up:Q92783,hsa:8027,STAM; signal transducing adaptor molecule
up:Q92843,hsa:599,BCL2L2; BCL2 like 2
up:Q969E8,hsa:90121,TSR2; TSR2 ribosome maturation factor
up:Q969E8,hsa:90121,TSR2; TSR2 ribosome maturation factor
up:Q96A23,hsa:131034,CPNE4; copine 4
up:Q96A23,hsa:131034,CPNE4; copine 4
up:Q96A23,hsa:131034,CPNE4; copine 4
up:Q96A23,hsa:131034,CPNE4; copine 4
up:Q96A58,hsa:85004,RERG; RAS like estrogen regulated growth inhibitor
up:Q96A58,hsa:85004,RERG; RAS like estrogen regulated growth inhibitor
up:Q96A58,hsa:85004,RERG; RAS like estrogen regulated growth inhibitor
up:Q96A58,hsa:85004,RERG; RAS like estrogen regulated growth inhibitor
up:Q96A58,hsa:85004,RERG; RAS like estrogen regulated growth inhibitor
up:Q96A58,hsa:85004,RERG; RAS like estrogen regulated growth inhibitor
up:Q96B45,hsa:119032,BORCS7; BLOC-1 related complex subunit 7
up:Q96BW1,hsa:139596,UPRT; uracil phosphoribosyltransferase homolog
up:Q96DZ1,hsa:27248,ERLEC1; endoplasmic reticulum lectin 1
up:Q96EY1,hsa:9093,DNAJA3; DnaJ heat shock protein family (Hsp40) member A3
up:Q96EY1,hsa:9093,DNAJA3; DnaJ heat shock protein family (Hsp40) member A3
up:Q96F85,hsa:25927,CNRIP1; cannabinoid receptor interacting protein 1
up:Q96F85,hsa:25927,CNRIP1; cannabinoid receptor interacting protein 1
up:Q96G21,hsa:92856,IMP4; IMP U3 small nucleolar ribonucleoprotein 4
up:Q96G74,hsa:55593,OTUD5; OTU deubiquitinase 5
up:Q96G74,hsa:55593,OTUD5; OTU deubiquitinase 5
up:Q96I45,hsa:85014,TMEM141; transmembrane protein 141
up:Q96I45,hsa:85014,TMEM141; transmembrane protein 141
up:Q96I45,hsa:85014,TMEM141; transmembrane protein 141
up:Q96I45,hsa:85014,TMEM141; transmembrane protein 141
up:Q96I45,hsa:85014,TMEM141; transmembrane protein 141
up:Q96MH6,hsa:137695,TMEM68; transmembrane protein 68
up:Q96MH6,hsa:137695,TMEM68; transmembrane protein 68
up:Q96MS3,hsa:144423,GLT1D1; glycosyltransferase 1 domain containing 1
up:Q96NC0,hsa:153527,ZMAT2; zinc finger matrin-type 2
up:Q96PX8,hsa:114798,SLITRK1; SLIT and NTRK like family member 1
up:Q96PX8,hsa:114798,SLITRK1; SLIT and NTRK like family member 1
up:Q96QG7,hsa:66036,MTMR9; myotubularin related protein 9
up:Q96SL1,hsa:84925,SLC49A4; solute carrier family 49 member 4
up:Q96SL1,hsa:84925,SLC49A4; solute carrier family 49 member 4
up:Q96SL1,hsa:84925,SLC49A4; solute carrier family 49 member 4
up:Q96SL1,hsa:84925,SLC49A4; solute carrier family 49 member 4
up:Q96SL1,hsa:84925,SLC49A4; solute carrier family 49 member 4
up:Q96T17,hsa:256714,MAP7D2; MAP7 domain containing 2
up:Q96T17,hsa:256714,MAP7D2; MAP7 domain containing 2
up:Q96T17,hsa:256714,MAP7D2; MAP7 domain containing 2
up:Q96T17,hsa:256714,MAP7D2; MAP7 domain containing 2
up:Q96T17,hsa:256714,MAP7D2; MAP7 domain containing 2
up:Q96T17,hsa:256714,MAP7D2; MAP7 domain containing 2
up:Q96T17,hsa:256714,MAP7D2; MAP7 domain containing 2
up:Q96T17,hsa:256714,MAP7D2; MAP7 domain containing 2
up:Q96T17,hsa:256714,MAP7D2; MAP7 domain containing 2
up:Q96T17,hsa:256714,MAP7D2; MAP7 domain containing 2
up:Q99435,hsa:4753,NELL2; neural EGFL like 2
up:Q99436,hsa:5695,PSMB7; proteasome 20S subunit beta 7
up:Q99627,hsa:10920,COPS8; COP9 signalosome subunit 8
up:Q99653,hsa:11261,CHP1; calcineurin like EF-hand protein 1
up:Q99848,hsa:10969,EBNA1BP2; EBNA1 binding protein 2
up:Q9BPW8,hsa:8508,NIPSNAP1; nipsnap homolog 1
up:Q9BQ75,hsa:84319,CMSS1; cms1 ribosomal small subunit homolog
up:Q9BQE3,hsa:84790,TUBA1C; tubulin alpha 1c
up:Q9BQE3,hsa:84790,TUBA1C; tubulin alpha 1c
up:Q9BRG1,hsa:84313,VPS25; vacuolar protein sorting 25 homolog
up:Q9BRP1,hsa:84306,PDCD2L; programmed cell death 2 like
up:Q9BRP1,hsa:84306,PDCD2L; programmed cell death 2 like
up:Q9BSD7,hsa:84284,"NTPCR; nucleoside-triphosphatase, cancer-related"
up:Q9BSD7,hsa:84284,"NTPCR; nucleoside-triphosphatase, cancer-related"
up:Q9BSD7,hsa:84284,"NTPCR; nucleoside-triphosphatase, cancer-related"
up:Q9BT78,hsa:51138,COPS4; COP9 signalosome subunit 4
up:Q9BW83,hsa:11020,IFT27; intraflagellar transport 27
up:Q9BWU0,hsa:22950,SLC4A1AP; solute carrier family 4 member 1 adaptor protein
up:Q9BWU0,hsa:22950,SLC4A1AP; solute carrier family 4 member 1 adaptor protein
up:Q9BYD6,hsa:65008,MRPL1; mitochondrial ribosomal protein L1
up:Q9BYD6,hsa:65008,MRPL1; mitochondrial ribosomal protein L1
up:Q9BYD6,hsa:65008,MRPL1; mitochondrial ribosomal protein L1
up:Q9BYG3,hsa:84365,NIFK; nucleolar protein interacting with the FHA domain of MKI67
up:Q9BZE1,hsa:51253,MRPL37; mitochondrial ribosomal protein L37
up:Q9BZE1,hsa:51253,MRPL37; mitochondrial ribosomal protein L37
up:Q9GZS3,hsa:80349,WDR61; WD repeat domain 61
up:Q9H0I3,hsa:29070,CCDC113; coiled-coil domain containing 113
up:Q9H1D9,hsa:10621,POLR3F; RNA polymerase III subunit F
up:Q9H1D9,hsa:10621,POLR3F; RNA polymerase III subunit F
up:Q9H2C2,hsa:64801,"ARV1; ARV1 homolog, fatty acid homeostasis modulator"
up:Q9H2U1,hsa:170506,DHX36; DEAH-box helicase 36
up:Q9H2U1,hsa:170506,DHX36; DEAH-box helicase 36
up:Q9H598,hsa:140679,SLC32A1; solute carrier family 32 member 1
up:Q9H5J4,hsa:79071,ELOVL6; ELOVL fatty acid elongase 6
up:Q9H773,hsa:79077,DCTPP1; dCTP pyrophosphatase 1
up:Q9H7B4,hsa:64754,SMYD3; SET and MYND domain containing 3
up:Q9H7V2,hsa:79953,SYNDIG1; synapse differentiation inducing 1
up:Q9H845,hsa:28976,ACAD9; acyl-CoA dehydrogenase family member 9
up:Q9H845,hsa:28976,ACAD9; acyl-CoA dehydrogenase family member 9
up:Q9H977,hsa:84058,WDR54; WD repeat domain 54
up:Q9HA64,hsa:79672,FN3KRP; fructosamine 3 kinase related protein
up:Q9HAF1,hsa:64769,MEAF6; MYST/Esa1 associated factor 6
up:Q9HAF1,hsa:64769,MEAF6; MYST/Esa1 associated factor 6
up:Q9HAW0,hsa:55290,BRF2; BRF2 RNA polymerase III transcription initiation factor subunit
up:Q9HBL8,hsa:57407,NMRAL1; NmrA like redox sensor 1
up:Q9HBL8,hsa:57407,NMRAL1; NmrA like redox sensor 1
up:Q9HBL8,hsa:57407,NMRAL1; NmrA like redox sensor 1
up:Q9HC38,hsa:51031,GLOD4; glyoxalase domain containing 4
up:Q9NP64,hsa:51538,ZCCHC17; zinc finger CCHC-type containing 17
up:Q9NP79,hsa:51534,VTA1; vesicle trafficking 1
up:Q9NPA8,hsa:56943,ENY2; ENY2 transcription and export complex 2 subunit
up:Q9NPJ1,hsa:8195,MKKS; MKKS centrosomal shuttling protein
up:Q9NQ66,hsa:23236,PLCB1; phospholipase C beta 1
up:Q9NQ66,hsa:23236,PLCB1; phospholipase C beta 1
up:Q9NRR4,hsa:29102,DROSHA; drosha ribonuclease III
up:Q9NUL3,hsa:27067,STAU2; staufen double-stranded RNA binding protein 2
up:Q9NUQ9,hsa:51571,CYRIB; CYFIP related Rac1 interactor B
up:Q9NUQ9,hsa:51571,CYRIB; CYFIP related Rac1 interactor B
up:Q9NVX7,hsa:55709,KBTBD4; kelch repeat and BTB domain containing 4
up:Q9NWS0,hsa:55011,PIH1D1; PIH1 domain containing 1
up:Q9NX40,hsa:54940,OCIAD1; OCIA domain containing 1
up:Q9NX74,hsa:54920,DUS2; dihydrouridine synthase 2
up:Q9NZQ0,hsa:51277,DNAJC27; DnaJ heat shock protein family (Hsp40) member C27
up:Q9NZQ0,hsa:51277,DNAJC27; DnaJ heat shock protein family (Hsp40) member C27
up:Q9P015,hsa:29088,MRPL15; mitochondrial ribosomal protein L15
up:Q9P0N9,hsa:51256,TBC1D7; TBC1 domain family member 7
up:Q9P0T7,hsa:252839,TMEM9; transmembrane protein 9
up:Q9P0T7,hsa:252839,TMEM9; transmembrane protein 9
up:Q9P0T7,hsa:252839,TMEM9; transmembrane protein 9
up:Q9P287,hsa:56647,BCCIP; BRCA2 and CDKN1A interacting protein
up:Q9P2E2,hsa:57576,KIF17; kinesin family member 17
up:Q9P2E2,hsa:57576,KIF17; kinesin family member 17
up:Q9P2E2,hsa:57576,KIF17; kinesin family member 17
up:Q9UBD5,hsa:23595,ORC3; origin recognition complex subunit 3
up:Q9UBI4,hsa:9399,STOML1; stomatin like 1
up:Q9UBW8,hsa:50813,COPS7A; COP9 signalosome subunit 7A
up:Q9UBW8,hsa:50813,COPS7A; COP9 signalosome subunit 7A
up:Q9UG63,hsa:114483834,ABCF2-H2BE1; ABCF2-H2BE1 readthrough
up:Q9UGN5,hsa:10038,PARP2; poly(ADP-ribose) polymerase 2
up:Q9UHA3,hsa:51187,RSL24D1; ribosomal L24 domain containing 1
up:Q9UHB9,hsa:6730,SRP68; signal recognition particle 68
up:Q9UHI5,hsa:23428,SLC7A8; solute carrier family 7 member 8
up:Q9UHI5,hsa:23428,SLC7A8; solute carrier family 7 member 8
up:Q9UHI5,hsa:23428,SLC7A8; solute carrier family 7 member 8
up:Q9UHI5,hsa:23428,SLC7A8; solute carrier family 7 member 8
up:Q9UHI5,hsa:23428,SLC7A8; solute carrier family 7 member 8
up:Q9UIL1,hsa:60592,SCOC; short coiled-coil protein
up:Q9UIL1,hsa:60592,SCOC; short coiled-coil protein
up:Q9UK28,hsa:25789,TMEM59L; transmembrane protein 59 like
up:Q9UKC9,hsa:25827,FBXL2; F-box and leucine rich repeat protein 2
up:Q9UKC9,hsa:25827,FBXL2; F-box and leucine rich repeat protein 2
up:Q9ULC4,hsa:28985,MCTS1; MCTS1 re-initiation and release factor
up:Q9ULC4,hsa:28985,MCTS1; MCTS1 re-initiation and release factor
up:Q9UNS2,hsa:8533,COPS3; COP9 signalosome subunit 3
up:Q9UPU3,hsa:22986,SORCS3; sortilin related VPS10 domain containing receptor 3
up:Q9UPU3,hsa:22986,SORCS3; sortilin related VPS10 domain containing receptor 3
up:Q9Y2K2,hsa:23387,SIK3; SIK family kinase 3
up:Q9Y3D5,hsa:51023,MRPS18C; mitochondrial ribosomal protein S18C
up:Q9Y3D9,hsa:51649,MRPS23; mitochondrial ribosomal protein S23
up:Q9Y4G6,hsa:83660,TLN2; talin 2
up:Q9Y4W6,hsa:10939,AFG3L2; AFG3 like matrix AAA peptidase subunit 2
up:Q9Y512,hsa:25813,SAMM50; SAMM50 sorting and assembly machinery component
up:Q9Y570,hsa:51400,PPME1; protein phosphatase methylesterase 1
up:Q9Y570,hsa:51400,PPME1; protein phosphatase methylesterase 1
up:Q9Y5B9,hsa:11198,"SUPT16H; SPT16 homolog, facilitates chromatin remodeling subunit"
up:Q9Y5J9,hsa:26521,TIMM8B; translocase of inner mitochondrial membrane 8 homolog B
up:Q9Y5K8,hsa:51382,ATP6V1D; ATPase H+ transporting V1 subunit D
up:Q9Y5U4,hsa:51141,INSIG2; insulin induced gene 2
up:Q9Y5U4,hsa:51141,INSIG2; insulin induced gene 2
up:Q9Y6A4,hsa:29105,CFAP20; cilia and flagella associated protein 20
up:Q9Y6H1,hsa:51142,CHCHD2; coiled-coil-helix-coiled-coil-helix domain containing 2
up:P68400,hsa:1457,CSNK2A1; casein kinase 2 alpha 1
up:P68400,hsa:1457,CSNK2A1; casein kinase 2 alpha 1
up:P68400,hsa:1457,CSNK2A1; casein kinase 2 alpha 1
up:P68400,hsa:1457,CSNK2A1; casein kinase 2 alpha 1
up:Q9UBL0,hsa:10777,ARPP21; cAMP regulated phosphoprotein 21
up:Q9UBL0,hsa:10777,ARPP21; cAMP regulated phosphoprotein 21
up:A0AV02,hsa:84561,SLC12A8; solute carrier family 12 member 8
up:A0AV02,hsa:84561,SLC12A8; solute carrier family 12 member 8
up:A0AV02,hsa:84561,SLC12A8; solute carrier family 12 member 8
up:A2RU67,hsa:57613,FAM234B; family with sequence similarity 234 member B
up:A2RU67,hsa:57613,FAM234B; family with sequence similarity 234 member B
up:A2RU67,hsa:57613,FAM234B; family with sequence similarity 234 member B
up:A2RU67,hsa:57613,FAM234B; family with sequence similarity 234 member B
up:A5PLN7,hsa:25854,FAM149A; family with sequence similarity 149 member A
up:A6NNX1,hsa:284485,RIIAD1; regulatory subunit of type II PKA R-subunit domain containing 1
up:A7XYQ1,hsa:55084,SOBP; sine oculis binding protein homolog
up:A8MT70,hsa:79740,ZBBX; zinc finger B-box domain containing
up:A8MWY0,hsa:222223,ELAPOR2; endosome-lysosome associated apoptosis and autophagy regulator family member 2
up:O00124,hsa:7993,UBXN8; UBX domain protein 8
up:O00194,hsa:5874,"RAB27B; RAB27B, member RAS oncogene family"
up:O00410,hsa:3843,IPO5; importin 5
up:O00442,hsa:8634,RTCA; RNA 3'-terminal phosphate cyclase
up:O14490,hsa:9229,DLGAP1; DLG associated protein 1
up:O14530,hsa:10190,TXNDC9; thioredoxin domain containing 9
up:O14653,hsa:9570,GOSR2; golgi SNAP receptor complex member 2
up:O14653,hsa:9570,GOSR2; golgi SNAP receptor complex member 2
up:O14656,hsa:1861,TOR1A; torsin family 1 member A
up:O14832,hsa:5264,PHYH; phytanoyl-CoA 2-hydroxylase
up:O14832,hsa:5264,PHYH; phytanoyl-CoA 2-hydroxylase
up:O14832,hsa:5264,PHYH; phytanoyl-CoA 2-hydroxylase
up:O14832,hsa:5264,PHYH; phytanoyl-CoA 2-hydroxylase
up:O14832,hsa:5264,PHYH; phytanoyl-CoA 2-hydroxylase
up:O14832,hsa:5264,PHYH; phytanoyl-CoA 2-hydroxylase
up:O14832,hsa:5264,PHYH; phytanoyl-CoA 2-hydroxylase
up:O15033,hsa:9870,AREL1; apoptosis resistant E3 ubiquitin protein ligase 1
up:O15033,hsa:9870,AREL1; apoptosis resistant E3 ubiquitin protein ligase 1
up:O15033,hsa:9870,AREL1; apoptosis resistant E3 ubiquitin protein ligase 1
up:O15072,hsa:9508,ADAMTS3; ADAM metallopeptidase with thrombospondin type 1 motif 3
up:O15213,hsa:9277,WDR46; WD repeat domain 46
up:O15347,hsa:3149,HMGB3; high mobility group box 3
up:O15405,hsa:27324,TOX3; TOX high mobility group box family member 3
up:O43251,hsa:23543,RBFOX2; RNA binding fox-1 homolog 2
up:O43251,hsa:23543,RBFOX2; RNA binding fox-1 homolog 2
up:O43251,hsa:23543,RBFOX2; RNA binding fox-1 homolog 2
up:O43314,hsa:23262,PPIP5K2; diphosphoinositol pentakisphosphate kinase 2
up:O43426,hsa:8867,SYNJ1; synaptojanin 1
up:O43427,hsa:9158,FIBP; FGF1 intracellular binding protein
up:O43462,hsa:51360,"MBTPS2; membrane bound transcription factor peptidase, site 2"
up:O43464,hsa:27429,HTRA2; HtrA serine peptidase 2
up:O43513,hsa:9443,MED7; mediator complex subunit 7
up:O43513,hsa:9443,MED7; mediator complex subunit 7
up:O43583,hsa:8562,DENR; density regulated re-initiation and release factor
up:O60260,hsa:5071,PRKN; parkin RBR E3 ubiquitin protein ligase
up:O60294,hsa:9836,LCMT2; leucine carboxyl methyltransferase 2
up:O60313,hsa:4976,OPA1; OPA1 mitochondrial dynamin like GTPase
up:O60313,hsa:4976,OPA1; OPA1 mitochondrial dynamin like GTPase
up:O60313,hsa:4976,OPA1; OPA1 mitochondrial dynamin like GTPase
up:O60488,hsa:2182,ACSL4; acyl-CoA synthetase long chain family member 4
up:O60573,hsa:9470,EIF4E2; eukaryotic translation initiation factor 4E family member 2
up:O75391,hsa:9552,SPAG7; sperm associated antigen 7
up:O75443,hsa:7007,TECTA; tectorin alpha
up:O75443,hsa:7007,TECTA; tectorin alpha
up:O75478,hsa:6871,TADA2A; transcriptional adaptor 2A
up:O75478,hsa:6871,TADA2A; transcriptional adaptor 2A
up:O75752,hsa:8706,"B3GALNT1; beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"
up:O75832,hsa:5716,"PSMD10; proteasome 26S subunit, non-ATPase 10"
up:O75832,hsa:5716,"PSMD10; proteasome 26S subunit, non-ATPase 10"
up:O75832,hsa:5716,"PSMD10; proteasome 26S subunit, non-ATPase 10"
up:O75832,hsa:5716,"PSMD10; proteasome 26S subunit, non-ATPase 10"
up:O75934,hsa:10286,BCAS2; BCAS2 pre-mRNA processing factor
up:O75937,hsa:22826,DNAJC8; DnaJ heat shock protein family (Hsp40) member C8
up:O76021,hsa:26156,RSL1D1; ribosomal L1 domain containing 1
up:O76021,hsa:26156,RSL1D1; ribosomal L1 domain containing 1
up:O76021,hsa:26156,RSL1D1; ribosomal L1 domain containing 1
up:O76021,hsa:26156,RSL1D1; ribosomal L1 domain containing 1
up:O94779,hsa:53942,CNTN5; contactin 5
up:O94779,hsa:53942,CNTN5; contactin 5
up:O94826,hsa:9868,TOMM70; translocase of outer mitochondrial membrane 70
up:O95429,hsa:9530,BAG4; BAG cochaperone 4
up:O95461,hsa:9215,LARGE1; LARGE xylosyl- and glucuronyltransferase 1
up:O95847,hsa:9481,SLC25A27; solute carrier family 25 member 27
up:O96015,hsa:10126,DNAL4; dynein axonemal light chain 4
up:P05413,hsa:2170,FABP3; fatty acid binding protein 3
up:P07954,hsa:2271,FH; fumarate hydratase
up:P0C024,hsa:283927,NUDT7; nudix hydrolase 7
up:P0C024,hsa:283927,NUDT7; nudix hydrolase 7
up:P11586,hsa:4522,"MTHFD1; methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"
up:P13637,hsa:478,ATP1A3; ATPase Na+/K+ transporting subunit alpha 3
up:P17612,hsa:5566,PRKACA; protein kinase cAMP-activated catalytic subunit alpha
up:P17612,hsa:5566,PRKACA; protein kinase cAMP-activated catalytic subunit alpha
up:P17980,hsa:5702,"PSMC3; proteasome 26S subunit, ATPase 3"
up:P18405,hsa:6715,SRD5A1; steroid 5 alpha-reductase 1
up:P18405,hsa:6715,SRD5A1; steroid 5 alpha-reductase 1
up:P18405,hsa:6715,SRD5A1; steroid 5 alpha-reductase 1
up:P18859,hsa:522,ATP5PF; ATP synthase peripheral stalk subunit F6
up:P18859,hsa:522,ATP5PF; ATP synthase peripheral stalk subunit F6
up:P20226,hsa:6908,TBP; TATA-box binding protein
up:P20340,hsa:5870,"RAB6A; RAB6A, member RAS oncogene family"
up:P21281,hsa:526,ATP6V1B2; ATPase H+ transporting V1 subunit B2
up:P21554,hsa:1268,CNR1; cannabinoid receptor 1
up:P21918,hsa:1816,DRD5; dopamine receptor D5
up:P21918,hsa:1816,DRD5; dopamine receptor D5
up:P22304,hsa:3423,IDS; iduronate 2-sulfatase
up:P22830,hsa:2235,FECH; ferrochelatase
up:P23416,hsa:2742,GLRA2; glycine receptor alpha 2
up:P23416,hsa:2742,GLRA2; glycine receptor alpha 2
up:P23416,hsa:2742,GLRA2; glycine receptor alpha 2
up:P23763,hsa:6843,VAMP1; vesicle associated membrane protein 1
up:P23763,hsa:6843,VAMP1; vesicle associated membrane protein 1
up:P23763,hsa:6843,VAMP1; vesicle associated membrane protein 1
up:P24539,hsa:515,ATP5PB; ATP synthase peripheral stalk-membrane subunit b
up:P27695,hsa:328,APEX1; apurinic/apyrimidinic endodeoxyribonuclease 1
up:P27695,hsa:328,APEX1; apurinic/apyrimidinic endodeoxyribonuclease 1
up:P27695,hsa:328,APEX1; apurinic/apyrimidinic endodeoxyribonuclease 1
up:P28223,hsa:3356,HTR2A; 5-hydroxytryptamine receptor 2A
up:P28223,hsa:3356,HTR2A; 5-hydroxytryptamine receptor 2A
up:P28223,hsa:3356,HTR2A; 5-hydroxytryptamine receptor 2A
up:P28223,hsa:3356,HTR2A; 5-hydroxytryptamine receptor 2A
up:P29323,hsa:2048,EPHB2; EPH receptor B2
up:P31629,hsa:3097,HIVEP2; HIVEP zinc finger 2
up:P31629,hsa:3097,HIVEP2; HIVEP zinc finger 2
up:P32418,hsa:6546,SLC8A1; solute carrier family 8 member A1
up:P33991,hsa:4173,MCM4; minichromosome maintenance complex component 4
up:P33991,hsa:4173,MCM4; minichromosome maintenance complex component 4
up:P35244,hsa:6119,RPA3; replication protein A3
up:P36543,hsa:529,ATP6V1E1; ATPase H+ transporting V1 subunit E1
up:P39086,hsa:2897,GRIK1; glutamate ionotropic receptor kainate type subunit 1
up:P39086,hsa:2897,GRIK1; glutamate ionotropic receptor kainate type subunit 1
up:P40123,hsa:10486,CAP2; cyclase associated actin cytoskeleton regulatory protein 2
up:P40938,hsa:5983,RFC3; replication factor C subunit 3
up:P41252,hsa:3376,IARS1; isoleucyl-tRNA synthetase 1
up:P41252,hsa:3376,IARS1; isoleucyl-tRNA synthetase 1
up:P41252,hsa:3376,IARS1; isoleucyl-tRNA synthetase 1
up:P42261,hsa:2890,GRIA1; glutamate ionotropic receptor AMPA type subunit 1
up:P42566,hsa:2060,EPS15; epidermal growth factor receptor pathway substrate 15
up:P48058,hsa:2893,GRIA4; glutamate ionotropic receptor AMPA type subunit 4
up:P48058,hsa:2893,GRIA4; glutamate ionotropic receptor AMPA type subunit 4
up:P48058,hsa:2893,GRIA4; glutamate ionotropic receptor AMPA type subunit 4
up:P48169,hsa:2557,GABRA4; gamma-aminobutyric acid type A receptor subunit alpha4
up:P48169,hsa:2557,GABRA4; gamma-aminobutyric acid type A receptor subunit alpha4
up:P48169,hsa:2557,GABRA4; gamma-aminobutyric acid type A receptor subunit alpha4
up:P49802,hsa:6000,RGS7; regulator of G protein signaling 7
up:P49802,hsa:6000,RGS7; regulator of G protein signaling 7
up:P49802,hsa:6000,RGS7; regulator of G protein signaling 7
up:P49802,hsa:6000,RGS7; regulator of G protein signaling 7
up:P50549,hsa:2115,ETV1; ETS variant transcription factor 1
up:P51513,hsa:4857,NOVA1; NOVA alternative splicing regulator 1
up:P51513,hsa:4857,NOVA1; NOVA alternative splicing regulator 1
up:P51513,hsa:4857,NOVA1; NOVA alternative splicing regulator 1
up:P51513,hsa:4857,NOVA1; NOVA alternative splicing regulator 1
up:P51513,hsa:4857,NOVA1; NOVA alternative splicing regulator 1
up:P51513,hsa:4857,NOVA1; NOVA alternative splicing regulator 1
up:P51513,hsa:4857,NOVA1; NOVA alternative splicing regulator 1
up:P51513,hsa:4857,NOVA1; NOVA alternative splicing regulator 1
up:P51955,hsa:4751,NEK2; NIMA related kinase 2
up:P51955,hsa:4751,NEK2; NIMA related kinase 2
up:P51955,hsa:4751,NEK2; NIMA related kinase 2
up:P52429,hsa:8526,DGKE; diacylglycerol kinase epsilon
up:P52429,hsa:8526,DGKE; diacylglycerol kinase epsilon
up:P53396,hsa:47,ACLY; ATP citrate lyase
up:P53396,hsa:47,ACLY; ATP citrate lyase
up:P53779,hsa:5602,MAPK10; mitogen-activated protein kinase 10
up:P54619,hsa:5571,PRKAG1; protein kinase AMP-activated non-catalytic subunit gamma 1
up:P55286,hsa:1006,CDH8; cadherin 8
up:P55769,hsa:4809,SNU13; small nuclear ribonucleoprotein 13
up:P55809,hsa:5019,OXCT1; 3-oxoacid CoA-transferase 1
up:P56556,hsa:4700,NDUFA6; NADH:ubiquinone oxidoreductase subunit A6
up:P56559,hsa:10123,ARL4C; ADP ribosylation factor like GTPase 4C
up:P56589,hsa:8504,PEX3; peroxisomal biogenesis factor 3
up:P56817,hsa:23621,BACE1; beta-secretase 1
up:P61599,hsa:51126,"NAA20; N-alpha-acetyltransferase 20, NatB catalytic subunit"
up:P61599,hsa:51126,"NAA20; N-alpha-acetyltransferase 20, NatB catalytic subunit"
up:P61758,hsa:7411,VBP1; VHL binding protein 1
up:P61758,hsa:7411,VBP1; VHL binding protein 1
